Bankroll,Date Placed,Player,Line,Probability,Factor,Stake,Win,Date Settled,Realized Profit
1,2025-06-02 20:00,Alexander Bublik,2000,0.049074,0.001528,0.001528,,,0
1,,,,,,,,,
