Bankroll,Date Placed,Player,Line,Probability,Factor,Stake,Win,Date Settled,Realized Profit
1,2025-06-02 20:00,Alexander Bublik,2000,0.049074,0.001528,0.001528,,,0
0.998472,2025-06-03 17:30,Carlos Alcaraz,-550,0.856608,0.067955,0.06785116476,,,0
