Effective Bankroll,Bankroll (w/ Current Stake),Date Placed,Player,Line,Probability,Factor,Stake,Win,Date Settled,Realized Profit,Bet Slip
1,1,2025-06-02 20:00,Alexander Bublik,2000,0.049074,0.001528,0.001528,0,2025-06-04 13:00,-0.001528,https://imgur.com/a/first-two-slips-n1IUAII
0.998472,1,2025-06-03 17:30,Carlos Alcaraz,-550,0.856608,0.067955,0.06785116476,1,2025-06-06 11:30,0.01233657541,https://imgur.com/a/first-two-slips-n1IUAII
1.010808575,1.010808575,2025-06-06 17:15,Carlos Alcaraz,-115,0.54084,0.012807,0.01294542543,1,2025-06-08 15:30,0.01125689167,https://imgur.com/a/0ApS0Q0
0.99786315,1.010808575,2025-06-08 10:45,Jacob Fearnley,-104,0.547309,0.074346,0.07418713375,0,2025-06-09 11:00,-0.07418713375,https://imgur.com/a/wO3EAVW
0.99786315,1.010808575,2025-06-08 10:45,Matteo Arnaldi,-154,0.646144,0.098383,0.09817277029,0,2025-06-09 11:00,-0.09817277029,https://imgur.com/a/wO3EAVW
0.99786315,1.010808575,2025-06-08 10:45,Alex Michelsen,-105,0.570825,0.11782,0.1175682363,1,2025-06-10 14:15,0.1119697489,https://imgur.com/a/hjm9Ve9
0.99786315,1.010808575,2025-06-08 10:45,Denis Shapovalov,-250,0.720046,0.01946,0.0194184169,0,2025-06-10 11:00,-0.0194184169,https://imgur.com/a/hjm9Ve9
0.99786315,1.010808575,2025-06-08 10:45,Alejandro Tabilo,-102,0.506949,0.003898,0.003889670559,N/A,2025-06-09 11:00,0,https://imgur.com/a/wO3EAVW
0.99786315,1.010808575,2025-06-08 10:45,Luciano Darderi,114,0.474531,0.01313,0.01310194316,0,2025-06-09 11:00,-0.01310194316,https://imgur.com/a/wO3EAVW
0.99786315,1.010808575,2025-06-08 10:45,Mattia Bellucci,110,0.502193,0.04809,0.04798723888,N/A,2025-06-09 11:00,0,https://imgur.com/a/wO3EAVW
0.99786315,1.010808575,2025-06-08 10:45,Nuno Borges,-225,0.701579,0.02909,0.02902783903,1,2025-06-09 11:00,0.01290126179,https://imgur.com/a/wO3EAVW
0.5945099011,1.010808575,2025-06-08 11:00,Gabriel Diallo,-178,0.687528,0.131328,0.07807579629,1,2025-06-09 11:00,0.0438628069,https://imgur.com/a/wO3EAVW
0.7563810354,0.8933676886,2025-06-09 12:30,Justin Engel,280,0.291502,0.03847,0.02909797843,1,2025-06-10 9:30,0.0814743396,https://imgur.com/a/hjm9Ve9
0.7272830569,0.8933676886,2025-06-09 16:45,Laslo Djere,105,0.507494,0.038438,0.02795530614,0,2025-06-11 12:00,-0.02795530614,https://imgur.com/a/qcwqytz
0.7272830569,0.8933676886,2025-06-09 16:45,Alexander Blockx,158,0.391452,0.006285,0.004570974013,0,2025-06-10 10:30,-0.004570974013,https://imgur.com/a/hjm9Ve9
0.8053290948,0.9508526373,2025-06-10 13:15,Jiri Lehecka,-200,0.67485,0.023838,0.01919743496,1,2025-06-11 12:30,0.009598717481,https://imgur.com/a/qcwqytz
0.8053290948,0.9508526373,2025-06-10 13:15,Marton Fucsovics,-150,0.61329,0.033675,0.02711945727,1,2025-06-11 7:00,0.01807963818,https://imgur.com/a/qcwqytz
0.8053290948,0.9508526373,2025-06-10 13:15,Gabriel Diallo,160,0.407177,0.03724,0.02999045549,1,2025-06-11 7:20,0.04798472879,https://imgur.com/a/qcwqytz
1.081734012,1.128886753,2025-06-11 9:00,Otto Virtanen,140,0.451304,0.058234,0.06299369846,N/A,2025-06-12 7:00,0,https://imgur.com/a/bFOW8Vq
1.081734012,1.128886753,2025-06-11 9:00,Justin Engel,500,0.214059,0.056349,0.06095462984,1,2025-06-12 7:30,0.3047731492,https://imgur.com/a/bFOW8Vq
1.081734012,1.128886753,2025-06-11 9:00,Learner Tien,230,0.33549,0.045698,0.04943308088,0,2025-06-12 12:55,-0.04943308088,https://imgur.com/a/bFOW8Vq
1.081734012,1.128886753,2025-06-11 9:00,Corentin Moutet,900,0.113233,0.014399,0.01557588804,0,2025-06-12 11:00,-0.01557588804,https://imgur.com/a/bFOW8Vq
0.9215728673,1.110530164,2025-06-11 14:30,Hubert Hurkacz,-160,0.658409,0.111863,0.1030899056,N/A,2025-06-12 7:30,0,https://imgur.com/a/bFOW8Vq
0.8184829616,1.110530164,2025-06-11 21:20,Gabriel Diallo,184,0.373656,0.033146,0.02712943625,1,2025-06-13 9:15,0.04991816269,https://imgur.com/a/6EnhvHh
1.323164909,1.350294345,2025-06-12 13:25,Mark Lajal,112,0.481523,0.018597,0.0246068978,0,2025-06-13 14:00,-0.0246068978,https://imgur.com/a/6EnhvHh
1.298558011,1.350294345,2025-06-12 17:35,Brandon Nakashima,300,0.258452,0.011265,0.01462825599,0,2025-06-13 11:00,-0.01462825599,https://imgur.com/a/6EnhvHh
